timestamp,volume,open,low,high,close,t_plus,longs,shorts,entry,returns,holding,direction
2018-08-13 12:00:00,327.18660084,6401.41,6215.82,6410.0,6283.5,6283.5,0,0,0,0.0,0,0
2018-08-13 16:00:00,264.30648248,6283.5,6102.5,6283.5,6218.5,6218.5,0,0,0,0.0,0,0
2018-08-13 20:00:00,0.08977482,6218.5,6200.0,6274.0,6245.0,6245.0,0,0,0,0.0,0,0
2018-08-14 00:00:00,12.969269839999999,6245.0,5878.5,6245.0,5948.0,5949.0,0,0,0,0.0,0,0
2018-08-14 04:00:00,35.08622816,5949.0,5912.0,6040.0,6013.5,6009.0,0,0,0,0.0,0,0
2018-08-14 08:00:00,2.83472585,6009.0,5951.0,6048.0,5992.0,5992.0,0,0,0,0.0,0,0
2018-08-14 12:00:00,14.844525489999999,5992.0,5982.0,6133.0,6006.5,6006.5,0,0,0,0.0,0,0
2018-08-14 16:00:00,3.39218283,6006.5,6004.0,6103.0,6078.5,6054.0,0,0,0,0.0,0,0
2018-08-14 20:00:00,0.008259,6054.0,6054.0,6054.0,6054.0,6054.0,0,0,0,0.0,0,0
2018-08-15 00:00:00,0.0,6054.0,6054.0,6054.0,6054.0,6054.0,0,0,0,0.0,0,0
2018-08-15 04:00:00,0.0,6054.0,6054.0,6054.0,6054.0,6054.0,0,0,0,0.0,0,0
2018-08-15 08:00:00,22.16748741,6054.0,6053.0,6399.5,6347.5,6347.5,0,0,0,0.0,0,0
2018-08-15 12:00:00,4.04731376,6347.5,6342.0,6384.5,6375.5,6375.5,0,0,0,0.0,0,0
2018-08-15 16:00:00,0.0,6375.5,6375.5,6375.5,6375.5,6375.5,0,0,0,0.0,0,0
2018-08-15 20:00:00,0.0,6375.5,6375.5,6375.5,6375.5,6375.5,0,0,0,0.0,0,0
2018-08-16 00:00:00,0.0,6375.5,6375.5,6375.5,6375.5,6375.5,0,0,0,0.0,0,0
2018-08-16 04:00:00,2.21121119,6375.5,6303.0,6375.5,6360.0,6360.0,0,0,0,0.0,0,0
2018-08-16 08:00:00,2011.29691305,6360.0,6360.0,6491.0,6420.0,6420.0,0,0,0,0.0,0,0
2018-08-16 12:00:00,37.91425509,6420.0,6301.0,6420.0,6406.5,6406.5,0,0,0,0.0,0,0
2018-08-16 16:00:00,171.97898644,6406.5,6394.0,6443.0,6398.0,6398.0,0,0,0,0.0,0,0
2018-08-16 20:00:00,46.87817557,6398.0,6241.0,6398.0,6300.5,6300.5,0,0,0,0.0,0,0
