timestamp,volume,open,low,high,close,t_plus
2018-08-13 12:00:00,1.24830802,6401.41,6390.0,6410.0,6390.0,6410.0
2018-08-13 14:00:00,325.93829282,6410.0,6215.82,6410.0,6283.5,6283.5
2018-08-13 16:00:00,16.79421917,6283.5,6102.5,6283.5,6102.5,6102.5
2018-08-13 18:00:00,247.51226331,6102.5,6102.5,6256.5,6218.5,6218.5
2018-08-13 20:00:00,0.01279864,6218.5,6218.5,6274.0,6235.0,6235.0
2018-08-13 22:00:00,0.07697618,6235.0,6200.0,6245.0,6245.0,6245.0
2018-08-14 00:00:00,9.44041963,6245.0,6000.0,6245.0,6000.0,6000.0
2018-08-14 02:00:00,3.52885021,6000.0,5878.5,6000.0,5948.0,5949.0
2018-08-14 04:00:00,33.85111565,5949.0,5934.0,5994.0,5952.0,5949.5
2018-08-14 06:00:00,1.23511251,5949.5,5912.0,6040.0,6013.5,6009.0
2018-08-14 08:00:00,0.50387477,6009.0,5981.0,6046.0,6030.0,6030.0
2018-08-14 10:00:00,2.33085108,6030.0,5951.0,6048.0,5992.0,5992.0
2018-08-14 12:00:00,9.55339569,5992.0,5982.0,6133.0,6130.0,6130.0
2018-08-14 14:00:00,5.2911298,6130.0,6006.5,6130.0,6006.5,6006.5
2018-08-14 16:00:00,3.13415133,6006.5,6004.0,6061.0,6021.5,6021.5
2018-08-14 18:00:00,0.2580315,6021.5,6005.0,6103.0,6078.5,6054.0
2018-08-14 20:00:00,0.008259,6054.0,6054.0,6054.0,6054.0,6054.0
2018-08-14 22:00:00,0.0,6054.0,6054.0,6054.0,6054.0,6054.0
2018-08-15 00:00:00,0.0,6054.0,6054.0,6054.0,6054.0,6054.0
2018-08-15 02:00:00,0.0,6054.0,6054.0,6054.0,6054.0,6054.0
2018-08-15 04:00:00,0.0,6054.0,6054.0,6054.0,6054.0,6054.0
2018-08-15 06:00:00,0.0,6054.0,6054.0,6054.0,6054.0,6054.0
2018-08-15 08:00:00,22.00994507,6054.0,6053.0,6399.5,6342.0,6342.0
2018-08-15 10:00:00,0.15754234,6342.0,6342.0,6347.5,6347.5,6347.5
2018-08-15 12:00:00,1.58137463,6347.5,6347.5,6384.5,6383.5,6383.5
2018-08-15 14:00:00,2.4659391299999998,6383.5,6342.0,6383.5,6375.5,6375.5
2018-08-15 16:00:00,0.0,6375.5,6375.5,6375.5,6375.5,6375.5
2018-08-15 18:00:00,0.0,6375.5,6375.5,6375.5,6375.5,6375.5
2018-08-15 20:00:00,0.0,6375.5,6375.5,6375.5,6375.5,6375.5
2018-08-15 22:00:00,0.0,6375.5,6375.5,6375.5,6375.5,6375.5
2018-08-16 00:00:00,0.0,6375.5,6375.5,6375.5,6375.5,6375.5
2018-08-16 02:00:00,0.0,6375.5,6375.5,6375.5,6375.5,6375.5
2018-08-16 04:00:00,0.0,6375.5,6375.5,6375.5,6375.5,6375.5
2018-08-16 06:00:00,2.21121119,6375.5,6303.0,6375.5,6360.0,6360.0
2018-08-16 08:00:00,0.25806304999999996,6360.0,6360.0,6395.0,6395.0,6395.0
2018-08-16 10:00:00,2011.03885,6395.0,6376.0,6491.0,6420.0,6420.0
2018-08-16 12:00:00,2.99894428,6420.0,6301.0,6420.0,6339.5,6339.5
2018-08-16 14:00:00,34.91531081,6339.5,6324.5,6407.0,6406.5,6406.5
2018-08-16 16:00:00,30.68378657,6406.5,6394.0,6443.0,6407.0,6407.0
2018-08-16 18:00:00,141.29519987,6407.0,6395.5,6419.5,6398.0,6398.0
2018-08-16 20:00:00,42.85828388,6398.0,6241.0,6398.0,6283.0,6283.0
2018-08-16 22:00:00,4.01989169,6283.0,6262.0,6300.5,6300.5,6300.5
2018-08-17 00:00:00,0.49005464,6300.5,6300.5,6347.0,6347.0,6347.0
2018-08-17 02:00:00,11.95352421,6347.0,6347.0,6444.0,6414.0,6414.0
2018-08-17 04:00:00,0.00618812,6414.0,6414.0,6498.5,6498.5,6498.5
2018-08-17 06:00:00,3.09610808,6498.5,6459.0,6498.5,6463.5,6463.5
2018-08-17 08:00:00,0.00154119,6463.5,6463.5,6488.5,6488.5,6488.5
2018-08-17 10:00:00,1.55493458,6488.5,6443.5,6488.5,6443.5,6443.5
2018-08-17 12:00:00,4.35937163,6443.5,6443.5,6502.5,6479.0,6479.0
